PID		Action					Type				Time						Allocated space			Entered
4		Memory  deallocation	Deallocation		Tue May 24 17:38:33 2022		112					1
5		Memory  deallocation	Deallocation		Tue May 24 17:38:39 2022		64					1
1		Memory  allocation  	Allocation  		Tue May 24 17:41:08 2022		48					1
1		Memory  deallocation	Deallocation		Tue May 24 17:41:24 2022		48					1
2		Memory  allocation  	Allocation  		Tue May 24 17:41:32 2022		208					1
2		Memory  deallocation	Deallocation		Tue May 24 17:41:42 2022		208					1
1		Memory  allocation  	Allocation  		Tue May 24 17:47:45 2022		128					1
1		Memory  allocation  	Allocation  		Tue May 24 17:48:37 2022		80					1
1		Memory  deallocation	Deallocation		Tue May 24 17:48:56 2022		80					1
1		Memory  allocation  	Allocation  		Tue May 24 17:49:22 2022		96					1
1		Memory  allocation  	Allocation  		Tue May 24 17:49:42 2022		80					1
1		Memory  deallocation	Deallocation		Tue May 24 17:49:56 2022		80					1
2		Memory  allocation  	Allocation  		Tue May 24 17:49:59 2022		16					1
1		Memory  allocation  	Allocation  		Tue May 24 17:52:39 2022		144					1
1		Memory  deallocation	Deallocation		Tue May 24 17:53:03 2022		144					1
2		Memory  allocation  	Allocation  		Tue May 24 17:53:07 2022		208					1
3		Memory  allocation  	Allocation  		Tue May 24 17:53:23 2022		112					1
2		Memory  deallocation	Deallocation		Tue May 24 17:53:30 2022		208					1
3		Memory  deallocation	Deallocation		Tue May 24 17:53:38 2022		112					1
1		Memory  allocation  	Allocation  		Tue May 24 17:54:42 2022		80					1
1		Memory  deallocation	Deallocation		Tue May 24 17:54:56 2022		80					1
2		Memory  allocation  	Allocation  		Tue May 24 17:55:06 2022		128					1
2		Memory  deallocation	Deallocation		Tue May 24 17:55:26 2022		128					1
3		Memory  allocation  	Allocation  		Tue May 24 17:55:36 2022		144					1
3		Memory  deallocation	Deallocation		Tue May 24 17:55:57 2022		144					1
4		Memory  allocation  	Allocation  		Tue May 24 17:55:59 2022		32					1
4		Memory  deallocation	Deallocation		Tue May 24 17:56:13 2022		32					1
5		Memory  allocation  	Allocation  		Tue May 24 17:56:14 2022		64					1
5		Memory  deallocation	Deallocation		Tue May 24 17:56:28 2022		64					1
6		Memory  allocation  	Allocation  		Tue May 24 17:56:35 2022		112					1
6		Memory  deallocation	Deallocation		Tue May 24 17:56:53 2022		112					1
7		Memory  allocation  	Allocation  		Tue May 24 17:56:59 2022		48					1
7		Memory  deallocation	Deallocation		Tue May 24 17:57:17 2022		48					1
8		Memory  allocation  	Allocation  		Tue May 24 17:57:18 2022		144					1
1		Memory  allocation  	Allocation  		Tue May 24 18:00:16 2022		96					1
2		Memory  allocation  	Allocation  		Tue May 24 18:00:34 2022		16					1
1		Memory  deallocation	Deallocation		Tue May 24 18:00:45 2022		96					1
3		Memory  allocation  	Allocation  		Tue May 24 18:00:50 2022		48					1
2		Memory  deallocation	Deallocation		Tue May 24 18:00:53 2022		16					1
3		Memory  deallocation	Deallocation		Tue May 24 18:01:06 2022		48					1
4		Memory  allocation  	Allocation  		Tue May 24 18:01:08 2022		112					1
5		Memory  allocation  	Allocation  		Tue May 24 18:01:25 2022		160					1
4		Memory  deallocation	Deallocation		Tue May 24 18:01:28 2022		112					1
5		Memory  deallocation	Deallocation		Tue May 24 18:01:36 2022		160					1
6		Memory  allocation  	Allocation  		Tue May 24 18:01:42 2022		32					1
6		Memory  deallocation	Deallocation		Tue May 24 18:01:54 2022		32					1
7		Memory  allocation  	Allocation  		Tue May 24 18:01:58 2022		96					1
7		Memory  deallocation	Deallocation		Tue May 24 18:02:17 2022		96					1
8		Memory  allocation  	Allocation  		Tue May 24 18:02:28 2022		112					1
8		Memory  deallocation	Deallocation		Tue May 24 18:02:44 2022		112					1
9		Memory  allocation  	Allocation  		Tue May 24 18:02:50 2022		128					1
9		Memory  deallocation	Deallocation		Tue May 24 18:03:02 2022		128					1
1		Memory  allocation  	Allocation  		Tue May 24 18:10:47 2022		48					1
2		Memory  allocation  	Allocation  		Tue May 24 18:11:06 2022		192					1
1		Memory  deallocation	Deallocation		Tue May 24 18:11:06 2022		48					1
2		Memory  deallocation	Deallocation		Tue May 24 18:11:22 2022		192					1
1		Memory  allocation  	Allocation  		Tue May 24 18:13:56 2022		16					1
2		Memory  allocation  	Allocation  		Tue May 24 18:14:14 2022		160					1
1		Memory  deallocation	Deallocation		Tue May 24 18:14:17 2022		16					1
2		Memory  deallocation	Deallocation		Tue May 24 18:14:29 2022		160					1
3		Memory  allocation  	Allocation  		Tue May 24 18:14:36 2022		112					1
3		Memory  deallocation	Deallocation		Tue May 24 18:14:47 2022		112					1
4		Memory  allocation  	Allocation  		Tue May 24 18:14:56 2022		192					1
5		Denying allocation  		Allocation  		Tue May 24 18:15:18 2022		208					0
4		Memory  deallocation	Deallocation		Tue May 24 18:15:20 2022		192					1
6		Memory  allocation  	Allocation  		Tue May 24 18:15:39 2022		16					1
7		Memory  allocation  	Allocation  		Tue May 24 18:15:57 2022		160					1
6		Memory  deallocation	Deallocation		Tue May 24 18:16:06 2022		16					1
7		Memory  deallocation	Deallocation		Tue May 24 18:16:24 2022		160					1
1		Memory  allocation  	Allocation  		Tue May 24 18:18:45 2022		112					1
2		Memory  allocation  	Allocation  		Tue May 24 18:19:10 2022		96					1
