PID		Action					Type				Time						Allocated space			Entered
108		Memory  allocation  	Allocation  		Tue May 24 19:03:11 2022		48					1
109		Memory  allocation  	Allocation  		Tue May 24 19:03:32 2022		160					1
108		Memory  deallocation	Deallocation		Tue May 24 19:03:33 2022		48					1
109		Memory  deallocation	Deallocation		Tue May 24 19:03:47 2022		160					1
110		Memory  allocation  	Allocation  		Tue May 24 19:03:47 2022		32					1
110		Memory  deallocation	Deallocation		Tue May 24 19:03:59 2022		32					1
111		Memory  allocation  	Allocation  		Tue May 24 19:04:04 2022		96					1
112		Memory  allocation  	Allocation  		Tue May 24 19:04:21 2022		192					1
111		Memory  deallocation	Deallocation		Tue May 24 19:04:23 2022		96					1
113		Denying allocation  		Allocation  		Tue May 24 19:04:39 2022		112					0
112		Memory  deallocation	Deallocation		Tue May 24 19:04:39 2022		192					1
114		Memory  allocation  	Allocation  		Tue May 24 19:05:09 2022		192					1
114		Memory  deallocation	Deallocation		Tue May 24 19:05:29 2022		192					1
115		Memory  allocation  	Allocation  		Tue May 24 19:05:35 2022		160					1
115		Memory  deallocation	Deallocation		Tue May 24 19:05:55 2022		160					1
116		Memory  allocation  	Allocation  		Tue May 24 19:05:56 2022		176					1
117		Memory  allocation  	Allocation  		Tue May 24 19:06:14 2022		144					1
116		Memory  deallocation	Deallocation		Tue May 24 19:06:19 2022		176					1
118		Memory  allocation  	Allocation  		Tue May 24 19:06:30 2022		96					1
117		Memory  deallocation	Deallocation		Tue May 24 19:06:44 2022		144					1
118		Memory  deallocation	Deallocation		Tue May 24 19:06:53 2022		96					1
119		Memory  allocation  	Allocation  		Tue May 24 19:06:55 2022		128					1
120		Memory  allocation  	Allocation  		Tue May 24 19:07:13 2022		80					1
119		Memory  deallocation	Deallocation		Tue May 24 19:07:20 2022		128					1
120		Memory  deallocation	Deallocation		Tue May 24 19:07:26 2022		80					1
121		Memory  allocation  	Allocation  		Tue May 24 19:07:41 2022		48					1
121		Memory  deallocation	Deallocation		Tue May 24 19:07:53 2022		48					1
122		Memory  allocation  	Allocation  		Tue May 24 19:07:56 2022		144					1
123		Memory  allocation  	Allocation  		Tue May 24 19:08:20 2022		80					1
122		Memory  deallocation	Deallocation		Tue May 24 19:08:22 2022		144					1
124		Memory  allocation  	Allocation  		Tue May 24 19:08:42 2022		176					1
123		Memory  deallocation	Deallocation		Tue May 24 19:08:50 2022		80					1
124		Memory  deallocation	Deallocation		Tue May 24 19:08:56 2022		176					1
125		Memory  allocation  	Allocation  		Tue May 24 19:08:58 2022		96					1
126		Memory  allocation  	Allocation  		Tue May 24 19:09:18 2022		80					1
125		Memory  deallocation	Deallocation		Tue May 24 19:09:22 2022		96					1
126		Memory  deallocation	Deallocation		Tue May 24 19:09:32 2022		80					1
127		Memory  allocation  	Allocation  		Tue May 24 19:09:48 2022		112					1
127		Memory  deallocation	Deallocation		Tue May 24 19:09:58 2022		112					1
128		Memory  allocation  	Allocation  		Tue May 24 19:10:07 2022		96					1
128		Memory  deallocation	Deallocation		Tue May 24 19:10:18 2022		96					1
129		Memory  allocation  	Allocation  		Tue May 24 19:10:24 2022		112					1
129		Memory  deallocation	Deallocation		Tue May 24 19:10:42 2022		112					1
130		Memory  allocation  	Allocation  		Tue May 24 19:10:50 2022		64					1
131		Memory  allocation  	Allocation  		Tue May 24 19:11:06 2022		160					1
130		Memory  deallocation	Deallocation		Tue May 24 19:11:16 2022		64					1
132		Memory  allocation  	Allocation  		Tue May 24 19:11:28 2022		48					1
131		Memory  deallocation	Deallocation		Tue May 24 19:11:29 2022		160					1
132		Memory  deallocation	Deallocation		Tue May 24 19:11:38 2022		48					1
133		Memory  allocation  	Allocation  		Tue May 24 19:11:51 2022		176					1
133		Memory  deallocation	Deallocation		Tue May 24 19:12:11 2022		176					1
134		Memory  allocation  	Allocation  		Tue May 24 19:12:12 2022		160					1
134		Memory  deallocation	Deallocation		Tue May 24 19:12:23 2022		160					1
135		Memory  allocation  	Allocation  		Tue May 24 19:12:36 2022		160					1
135		Memory  deallocation	Deallocation		Tue May 24 19:12:47 2022		160					1
136		Memory  allocation  	Allocation  		Tue May 24 19:12:59 2022		144					1
136		Memory  deallocation	Deallocation		Tue May 24 19:13:11 2022		144					1
137		Memory  allocation  	Allocation  		Tue May 24 19:13:29 2022		16					1
138		Memory  allocation  	Allocation  		Tue May 24 19:13:51 2022		144					1
137		Memory  deallocation	Deallocation		Tue May 24 19:13:51 2022		16					1
138		Memory  deallocation	Deallocation		Tue May 24 19:14:13 2022		144					1
139		Memory  allocation  	Allocation  		Tue May 24 19:14:21 2022		48					1
140		Memory  allocation  	Allocation  		Tue May 24 19:14:43 2022		16					1
139		Memory  deallocation	Deallocation		Tue May 24 19:14:47 2022		48					1
140		Memory  deallocation	Deallocation		Tue May 24 19:14:59 2022		16					1
141		Memory  allocation  	Allocation  		Tue May 24 19:15:08 2022		16					1
141		Memory  deallocation	Deallocation		Tue May 24 19:15:19 2022		16					1
142		Memory  allocation  	Allocation  		Tue May 24 19:15:26 2022		96					1
142		Memory  deallocation	Deallocation		Tue May 24 19:15:44 2022		96					1
143		Memory  allocation  	Allocation  		Tue May 24 19:15:47 2022		144					1
144		Memory  allocation  	Allocation  		Tue May 24 19:16:04 2022		96					1
143		Memory  deallocation	Deallocation		Tue May 24 19:16:05 2022		144					1
144		Memory  deallocation	Deallocation		Tue May 24 19:16:20 2022		96					1
145		Memory  allocation  	Allocation  		Tue May 24 19:16:24 2022		80					1
145		Memory  deallocation	Deallocation		Tue May 24 19:16:38 2022		80					1
